,is_video,likes,video_duration,video_view_count,title,url,mediacount,caption,date_utc,comments
2436471102852041598,False,1166,,,,https://www.instagram.com/p/CHQFY8fAAt-/,1,"La vegetación que nos rodea, aporta luz, color y nos acompaña en nuestro día a día. ¿Qué plantas forman parte de tu entorno? 🌿",2020-11-06 13:40:13,9
2571256452220783605,False,1294,,,,https://www.instagram.com/p/COu8B7FDQv1/,1,Hay lugares de la USAL que nunca nos cansamos de observar. ¿Cuál es el tuyo? 🤔 #FelizMartes #SigamosSiendoResponsables,2021-05-11 12:54:36,11
2612813284141605293,False,805,,,,https://www.instagram.com/p/CRCk9axrqGt/,1,"""Un día es el siglo de las flores,
una noche es la edad de las estrellas"". 

La noche, Pedro Calderón de la Barca",2021-07-07 21:00:37,3
2620458156822625960,True,705,52.566,5040.0,,https://www.instagram.com/p/CRdvM9SL_6o/,1,"¿Sabías que Santa Teresa de Jesús fue la primera mujer ‘honoris causa’ de la Universidad de Salamanca? El 4 de marzo de 1922, bajo el rectorado de Luis Maldonado de Guevara y el vicerrectorado de Miguel de Unamuno, se acordó por unanimidad conceder el doctorado de ‘honoris causa’ a Santa Teresa de Jesús. Recibía la máxima distinción académica del estudio salmantino cinco siglos después de su muerte. Gracias a este reconocimiento se destacaron sus aportaciones a la literatura y la mística española. Actualmente, se encuentra expuesto en la capilla de la Universidad de Salamanca. 
_________________________________

La serie #SecretosDeLaUSAL muestra algunos de los aspectos menos conocidos sobre la historia, tradiciones y vida académica de nuestra universidad.",2021-07-18 10:09:53,7
2550201388716632455,True,436,14.766,2556.0,,https://www.instagram.com/p/CNkIqbIKamH/,1,¡Feliz #LunesDeAguas!,2021-04-12 11:42:36,3
2512552561977831341,False,844,,,,https://www.instagram.com/p/CLeYT44L6-t/,1,"La Universidad de Salamanca recibe cada año a más de 7000 estudiantes de todos los continentes y es la segunda universidad española con mayor porcentaje de alumnos extranjeros. Es, además, Alma Mater de las universidades hispanoamericanas. Especialízate en una universidad de carácter internacional. 🤗",2021-02-19 13:00:29,11
2573356383702297505,False,725,,,,https://www.instagram.com/p/CO2Zf8rDyuh/,5,"Hoy se abre el plazo de solicitud de plaza de los Colegios Mayores y Residencias de la Universidad de Salamanca.

🏘️ resercol.usal.es",2021-05-14 10:26:47,3
2400924206333848286,False,1491,,,,https://www.instagram.com/p/CFRy9hTKmre/,1,"Cada peldaño importa. Muy pronto volveremos a acompañarte en muchos de tus pasos. 
¡#FelizFinde! 😊",2020-09-18 12:34:50,7
2475513392379585416,False,907,,,,https://www.instagram.com/p/CJaylCFgeOI/,1,"¿Conocías la escultura en homenaje a las turroneras albercanas? Está situada en la plaza del Mercado Central y su creación es un reconocimiento a una tradición casi centenaria y artesana muy vinculada a la Navidad. Desde principios del siglo XX las turroneras de la Alberca se sitúan en los soportales inferiores de la plaza mayor de Salamanca para vender su turrones artesanos, marcando así el inicio de las fiestas navideñas.",2020-12-30 10:30:16,6
2469805809361426242,False,380,,,,https://www.instagram.com/p/CJGg0xLLxdC/,1,"Gracias a toda la comunidad universitaria la Universidad de Salamanca ha permanecido este año más viva que nunca. Gracias por vuestro trabajo, compromiso y esfuerzo. Os deseamos unas felices fiestas navideñas. 🤗🎄",2020-12-22 13:30:19,5
2596597287514742916,False,600,,,,https://www.instagram.com/p/CQI93nDDyCE/,1,"Nuestra universidad cuenta con una larga tradición humanística y científica y está presente en cuatro ciudades (Salamanca, Zamora, Ávila y Béjar). Dispone de 26 facultades en las que se imparten 68 grados y 25 dobles grados.

➡️ usal.es/grados",2021-06-15 12:02:19,1
2540728444156419567,True,525,47.933,4041.0,,https://www.instagram.com/p/CNCew8ArJ3v/,1,"Los estudiantes internacionales Leonardo Godoy, XinWei Wang y Carlos Velez explican cuáles fueron las razones por las que eligieron estudiar en la Universidad de Salamanca. 

¡Especialízate en la Universidad de Salamanca! 👉 usal.es/masteres",2021-03-30 10:01:13,12
