,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
We'll bring the,<Post Cakp2n6IBku>,140,2,"['tillamook', 'hotluck', 'hotluckfest']",01/03/22,"We'll bring the cheese. See you soon, @hotluckfest.
.
.
#Tillamook #HotLuck #HotLuckFest",88,"[{'text': 'YES 🧡💙🧡', 'length': 7}, {'text': '❤️❤️', 'length': 4}]"
The only thing,<Post CaieTHmlxS8>,5963,232,"['fridgeorganization', 'tillamook', 'asmr']",28/02/22,"The only thing more satisfying than eating our products? Organizing them.
.
.
.
#fridgeorganization #tillamook #ASMR",116,"[{'text': 'No pooping in this house…', 'length': 25}, {'text': 'Those berries are gna mold', 'length': 26}, {'text': 'They eat alot of cheese', 'length': 23}, {'text': 'Gimme a lactaid pill stat.', 'length': 26}, {'text': 'Chorro every day here wtf', 'length': 25}, {'text': 'I see you too are a fan of farm style thick cut 😉', 'length': 49}, {'text': 'who the duck fills an entire fridge with just cheese yogurt and berries🤦\u200d♂️🤦\u200d♂️🤦\u200d♂️', 'length': 83}, {'text': 'I just want to know where I can find those containers??🤓', 'length': 56}, {'text': 'I love Tillamook', 'length': 16}, {'text': 'Bruh there’s no real food bruh', 'length': 30}, {'text': 'Thas alot if plastic', 'length': 20}, {'text': 'It looks like you taking up more space by using these', 'length': 53}, {'text': '🤣🤣', 'length': 2}, {'text': 'If only they didn’t come in something to contain them already🧐', 'length': 62}, {'text': 'How do y’all have the time to do both that’s crazy to me', 'length': 56}, {'text': 'Literally no food in that fridge 😂😂', 'length': 35}, {'text': 'What about the meats lol', 'length': 24}, {'text': 'Dude all your berries are growing tons of mold now bc you washed them and boxed them wtf', 'length': 88}, {'text': 'This makes me angry', 'length': 19}, {'text': 'You had one and your mouth all ready', 'length': 36}, {'text': 'Asking for help to feed my family of 2 anything is appreciated need food hygiene items $prenticemoonwalk', 'length': 104}, {'text': 'There’s no way a normal person has that much cheese 😂', 'length': 53}, {'text': 'Nobody cares', 'length': 12}, {'text': 'The fruit will mold if you don’t keep the lid off.', 'length': 50}, {'text': 'Sexy as hell', 'length': 12}, {'text': '“Thatll be $2000”', 'length': 17}, {'text': 'This is a small fortune worth of food and I’m making 19 an hour..', 'length': 65}, {'text': '@revelation.fitness how my fridge better alway look after I wife you! 😂😅', 'length': 72}, {'text': 'I got these but for my pantry stuff', 'length': 35}, {'text': 'Imagine using up that much space for cheese', 'length': 43}, {'text': 'Premium products pure quality specially the ice cream', 'length': 53}, {'text': 'Seems like the containers take up more room than stacking it like a normal person', 'length': 81}, {'text': 'So stupid', 'length': 9}, {'text': '@stefanski_101  all I thought about is how much all of this would cost and what kind of frig is it.', 'length': 99}, {'text': ""But really, no one buys 80 dollars worth of pre shredded cheese. Wtf. These 'viral' trends are really starting to melt my brain man. People are becoming so useless. Who got paid to film this and why? You don't think we don't know how to organize our own fridges?"", 'length': 262}, {'text': 'This brings me so much peace 😌', 'length': 30}, {'text': 'So unnecessary', 'length': 14}, {'text': 'Ight ight but what bothers me the most is that you can stack another row of yogurts', 'length': 83}, {'text': 'Asking for help to feed my family of 2 anything is appreciated need food hygiene items $prenticemoonwalk', 'length': 104}, {'text': 'Looks fabulous - like the boxes with snap lids- link please?! We have this much Tillamook in fridge too - best brand EVER!  Now our kids have their grocery stores in other states order it in for them- once a Tillamook  family always a Tillamook family ❤️', 'length': 254}, {'text': 'Why you chopping the cucumbers if you’re not eating them yet wtf', 'length': 64}, {'text': 'Dang you guys must have hired someone for that marketing position lol.', 'length': 70}, {'text': 'That’s legit like $150 worth of cheese…', 'length': 39}, {'text': 'Where’s the real food ?', 'length': 23}, {'text': 'OCT anyone?!', 'length': 12}, {'text': 'Plastic, plastic, plastic, cheese, cheese, plastic, plastic,  cheese, yogurt, plastic, plastic, fruit and plastic', 'length': 113}, {'text': ""All that's fruit and veg is gonna rot"", 'length': 37}, {'text': 'whyu got so much cheese bro', 'length': 27}, {'text': 'Y’all go follow me @carmellipxx', 'length': 31}]"
It’s #Twosday. That,<Post CaTVBXjlkcv>,451,22,"['twosday', 'tillamookcheddar', 'tillamookcheese', 'tillamook']",23/02/22,"It’s #Twosday. That means you don’t have to choose.
.
.
.
#TillamookCheddar #TillamookCheese #Tillamook",103,"[{'text': '🙌🙌👏🔥', 'length': 4}, {'text': 'I love myself some Tillamoos!!!', 'length': 31}, {'text': 'Best cheese out there. #1', 'length': 25}, {'text': 'Extra sharp white cheddar is hands down the best 🤤🤤🤤', 'length': 52}, {'text': 'Hey @tillamook! Are you going to help sponsor our 4th of July wiener dog races this year? We raise $ for the Tillamook Animal Shelter and we’d love to partner with you!', 'length': 168}, {'text': 'Two a day! Everyday for me🤣🤤', 'length': 28}, {'text': 'Picked up the mozzarella today!!! 😋😋😋', 'length': 37}, {'text': 'The only choice will be cheese😍', 'length': 31}, {'text': 'I am UPSET!!!!!! I’m eating my strawberry Oregon yogurt and there’s hella pieces of white hair or some type of hair looking stuff in my yogurt !!!!!', 'length': 148}, {'text': 'Looks two good!', 'length': 15}, {'text': 'My fave !!!', 'length': 11}, {'text': 'For some reason the dark cherry/vanilla yogurt keeps coming out with no flavoring added', 'length': 87}, {'text': 'the post should have hit the trends, but the activity here is unfairly low. your personality can be adored by millions. i think @__ig.comments may be the key to success.', 'length': 169}, {'text': 'I need a bite 😍', 'length': 15}, {'text': 'My family loves these cheese snacks but they’re very feisty to open up. Especially the longer rectangular ones. \n\n@karenjustice6557', 'length': 131}, {'text': ""I've been eating your ice cream for two months. Brings me much joy. Please never go out of business."", 'length': 100}]"
Meet the Flemings,<Post CaLI-NRPNNU>,166,0,"['tillamook', 'allforfarmers', 'supportfarmers']",19/02/22,"Meet the Flemings of @verdantviewfarm: a 4th generation Pennsylvania farming family and recipient of the Brighter Future Microgrant in partnership with @americanfarmlandtrust.

With the funds from the Brighter Future Microgrant, they were able to purchase a rotary hay rake, replacing their former tool that was lost in a 2018 barn fire. 

Learn more about the All For Farmers Coalition and how you can support farmers in need at AllForFarmers.com.
.
.
.
#Tillamook #AllForFarmers #SupportFarmers",496,None
Can confirm. Results,<Post CaD1zO2lNXE>,579,37,"['tillamookcheddar', 'cheddarcheese', 'tillamook']",17/02/22,"Can confirm. Results of trying another cheddar brand: unsuccessful.
✍️: eatsformysweets on Instagram
.
.
.
#TillamookCheddar #CheddarCheese #Tillamook",150,"[{'text': ""Yeah...y'all got that cheddar game wrapped up 🕺"", 'length': 47}, {'text': 'When we run out of ‘The ‘Mook’ in our home, it’s a real problem. Store run immediately upon realization! 😂', 'length': 106}, {'text': 'Spot on👏', 'length': 8}, {'text': 'Soooooo true 😂😍', 'length': 15}, {'text': 'Agreed', 'length': 6}, {'text': '“Other brands of cheddar” smh 🤦🏼\u200d♀️', 'length': 35}, {'text': 'Tillamook is the best !', 'length': 23}, {'text': 'This is true!! #tillamookforlife', 'length': 32}, {'text': ""Been a loyal Tillamook cheese fan since the mid-70's. From tiny Marcola, OR to Denver, CO and all places in between. You've been my rock (block?)."", 'length': 146}, {'text': 'Guilty as charged, sentence…more Tillamook.', 'length': 43}, {'text': 'Oh yes, non-tillamook happens when you are out in the big world, Ya don’t know what ya got ‘til it’s gone, or not available everywhere. ❤️', 'length': 138}, {'text': '😂😂😂', 'length': 3}, {'text': '😂', 'length': 1}, {'text': 'Facts 🙌', 'length': 7}, {'text': 'I did this recently and honestly...dinner was ruined haha', 'length': 57}, {'text': 'Agreed!!', 'length': 8}, {'text': 'Wish I could get it in the UK 😭😭😭 miss my amazing PNW dairy!!', 'length': 61}, {'text': 'The extra sharp cheddar is the bomb!', 'length': 36}, {'text': 'Absolutely, my best mate came home with another brand once and I did not know it, I took it back. LMArseO!~!!', 'length': 109}, {'text': 'Confirmed for sour cream as well. The difference in creaminess is huge! ❤️', 'length': 74}, {'text': 'All of our local stores seem to be out of Tillamook Sharp Cheddar. 😢', 'length': 68}, {'text': '@catfishburgandy 🙃🧀💕', 'length': 20}, {'text': 'It’s true', 'length': 9}, {'text': 'Bring more @tillamook to IOWA 😢', 'length': 31}]"
Skip the roses,<Post CZ9rF7rsXCQ>,413,22,['valentinesday'],14/02/22,"Skip the roses this #ValentinesDay.

Drop a ❤️ for the person you're finishing the carton with.",95,"[{'text': 'Me Myself and I…duh! @kandi.schultz', 'length': 35}, {'text': 'Love us some ice cream!', 'length': 23}, {'text': '@samanthaelawson all the way to the bottom🔥', 'length': 43}, {'text': '❤️', 'length': 2}, {'text': 'Please bring back fireside s’mores 🙏', 'length': 36}, {'text': ""I can't find your ice cream here 😢"", 'length': 34}, {'text': 'Myself 😂', 'length': 8}, {'text': 'Oh, now I want ice cream ...', 'length': 28}, {'text': ""@tillamook I'd really love a bowl of Tillamook Neapolitan without buying the 3 flavors separately 😢"", 'length': 99}, {'text': 'Please make a tillamook mudslide - choc pb combo… it’s what the people need', 'length': 75}, {'text': 'Yum😍', 'length': 4}, {'text': 'I’m dropping a ♥️ for the small batch Marionberry Cheesecake. Please, please, bring it back!', 'length': 92}, {'text': ""Can I use some pictures in our post introducing Tilamuk? Please let me know if there's any problem.😊😊"", 'length': 101}, {'text': 'My favorite ice cream hands down 😍😍😍😍 the rocky road and Vanilla are amazing!', 'length': 77}]"
Like any good,<Post CZ7GQUhM8xR>,1288,51,['nationalcheddarday'],13/02/22,"Like any good Tillamook Cheddar, we just keep getting better with age. 113 years to the day to be exact. So, grab yourself some cheddar to toast with us and have a happy #NationalCheddarDay!",190,"[{'text': 'My favorite cheese on earth 🌎', 'length': 29}, {'text': '🥳🥳🧀', 'length': 3}, {'text': '❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'length': 18}, {'text': 'happy national cheddar day!!', 'length': 28}, {'text': 'Happy 113 Anniversary to the best company and the best cheese and products on the planet 😍😍🔥🔥#HappyNatiionalChedderCheeseDay', 'length': 124}, {'text': 'Happy Birthday @tillamook! We are cheddarbrating you today!', 'length': 59}, {'text': 'Congratulations 🎉', 'length': 17}, {'text': 'WOOOO!!!!! Your cheese is my absolute FAVORITE!!!!!!!🧀', 'length': 54}, {'text': 'Yay!! 😍👏👏👏', 'length': 10}, {'text': 'Any idea when we might see your blocks of cheddar again in Costco here in Puerto Vallarta?', 'length': 90}, {'text': 'Happy Birthday 🧡', 'length': 16}, {'text': 'Happiest Birthdays to you!!! Let’s get cheesy!!!', 'length': 48}, {'text': 'Best day of the year!', 'length': 21}, {'text': '👏🙌', 'length': 2}, {'text': 'Happy Birthday🥳🎉🥳🎉', 'length': 18}, {'text': 'Gives new meaning to the word CheeseCake', 'length': 40}, {'text': '🎉🎉🎉 Happy National Cheddar Day🧀', 'length': 31}, {'text': '❤️❤️❤️❤️', 'length': 8}, {'text': '🧀 🎉', 'length': 3}, {'text': '😍❤️', 'length': 3}, {'text': 'Happy Birthday @tillamook 🎉🧡🧀', 'length': 29}, {'text': 'Happy Birthday!~!! #TillamookAtHome', 'length': 35}, {'text': 'Auguri from Italy 🍾🥂🥳😘', 'length': 22}, {'text': '🙌🙌🙌🙌🙌🙌', 'length': 6}, {'text': '💛🧡🧀', 'length': 3}, {'text': 'Love that cheese!!!', 'length': 19}, {'text': '@Tilllamook Having a Tillamook Super Bowl party! Yum cheddar!!!', 'length': 63}, {'text': 'The ice cream is bomb ass big time', 'length': 34}, {'text': ""Happy Birthday, Tillamook! You're my favorite cheese company! 🧀"", 'length': 63}, {'text': '💫💫💫', 'length': 3}, {'text': 'Happy happy birthday 🎂 love all your cheese and other products was a long time Alaskan buyer and continued in the state of Washington buyer for quite a few year.', 'length': 161}]"
"Game rules, meet",<Post CZ5H-0QP_T7>,600,24,['nationalcheddarday'],12/02/22,"Game rules, meet house rules.

As you prep for the cheesiest day of the year tomorrow, get ready to be on the lookout for any party fouls or recipe TD’s during the Big Game on Twitter. 

We’ll make the final call when you tag @TillamookDairy and use #NationalCheddarDay 🧀",271,"[{'text': 'Well.... I need this sign in my house!', 'length': 38}, {'text': 'Party Tiiiiiiiiimeee 🤑🤑🤑', 'length': 24}, {'text': '^5!~!!', 'length': 6}, {'text': 'Some serious cheddar is goin down 🔥🔥🔥🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀🧀', 'length': 48}, {'text': 'Is American cheese really cheese? 😂', 'length': 35}, {'text': 'Technically Tillamook is made in America, so it ""can"" be qualified as American Cheese.... lol.', 'length': 94}, {'text': 'I believe you can double dip so long as you dip the alternate edge of the item back in 😂 but I also drink out of the milk carton so 🤷🏼\u200d♀️', 'length': 137}, {'text': 'Awesome!!!👏👏👏', 'length': 13}, {'text': ""😂😂❤️😂😂 Always double dip... What's the fun not doing that??😂😂"", 'length': 61}, {'text': '🙌', 'length': 1}, {'text': 'Totally love this! Already shared! If I see someone licking theor fingers and use it to go back for 2nds I will not eat. Yuck!', 'length': 126}, {'text': 'Tillamook cheddar makes it all better!', 'length': 38}]"
Some say our,<Post CZ0Z_iulFud>,1309,25,[],11/02/22,"Some say our cheddar is *almost* too stunning to eat 🧀
📷: @thedrewbarrymoreshow",79,"[{'text': '😋😋😋', 'length': 3}, {'text': 'Very impressive!', 'length': 16}, {'text': 'Soooo good!!!! 🙌🙌🙌🙌 @drewbarrymore didn’t think I curd love you any more, but this takes my fangirl to the next level!', 'length': 118}, {'text': 'So divine!!! Colby Jack is our fave! ♥️🌟', 'length': 40}, {'text': '🔥🔥', 'length': 2}, {'text': '🧡🧀🐄Tillamook🧡🧀🐄', 'length': 15}, {'text': '@cconnifer', 'length': 10}, {'text': 'You just unlocked a new dream of mine!', 'length': 38}, {'text': 'Dude looks hella gay lol', 'length': 24}, {'text': 'I LOVE ROSS 🤩', 'length': 13}, {'text': '👏🏼👏🏼👏🏼 @tillamook', 'length': 17}, {'text': '😱 I need one 😂😂😂😂', 'length': 17}, {'text': '@mycriinge', 'length': 10}, {'text': 'But Y tho?!?', 'length': 12}, {'text': 'Can u watch my video I sent you it’s about the idc cream I promise I think you’ll like it', 'length': 89}, {'text': 'Can you get @tdf_honest_farming in this competition???', 'length': 54}, {'text': '😆 awwww', 'length': 7}, {'text': 'Tillamook!!!!! Best cheese & icecream Everrr! Will be there this summer.', 'length': 72}]"
Now THIS is,<Post CZvPgUxInDY>,572,10,['nationalcheddarday'],09/02/22,"Now THIS is how you prep for #NationalCheddarDay 🧀 
Skillet Red Chili Chicken Enchiladas compliments of @brookslately",117,"[{'text': 'Super yum!', 'length': 10}, {'text': 'Yes!!! Absolutely fab & so easy! Best with @tillamook cheese 😉', 'length': 62}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'Wow, looks perfectly cheesy!', 'length': 28}, {'text': 'I ate this with my eyes..! 😂😍 Thank you, Tillamook..!! ❤️from the Seattle area🌲', 'length': 79}, {'text': 'Yes and then you finish the meal with a monster big bowl of peaches and cream ice cream. Just saw it for the first time tonight. Half the gallon, gone.', 'length': 151}, {'text': '❤️❤️❤️❤️❤️❤️❤️❤️', 'length': 16}]"
