,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Current obsession: @heleneisfor,<Post CZFxrbLvDyX>,122,6,[],23/01/22,Current obsession: @heleneisfor styling the Home Stretch Pullover ❣️,68,"[{'text': '#outfitrepeater #outfitrepeating #capsulewardrobe #abetterwardrobe #rewearthat #domorewithless', 'length': 94}, {'text': 'The red 😍🔥❤️', 'length': 12}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'The colour makes the difference. I love Aday but I hope we can have colour like powerful red as a wardrobe staple.', 'length': 114}, {'text': '👏👏👏👏👏👏', 'length': 6}, {'text': 'I wear my home stretch pullover all the damn time - love that piece of clothing!', 'length': 80}]"
Outfit repeating is,<Post CY7R0bnvfze>,768,16,[],19/01/22,"Outfit repeating is good for the planet + your wallet 🙌 learn more👇

Wearing your clothes 50x instead of 5 reduces carbon emissions by 400% per item, per year 🌎

Globally, customers miss out on $460 billion of value each year by throwing away clothes they could continue to wear 😱

Regram creds @zerrin_com",306,"[{'text': '#outfitrepeaterchallenge #outfitrepeater #outfitrepeaters #abetterwardrobe #rewearthat #capsulewardrobe', 'length': 103}, {'text': 'Hmmm… @braddo6 🤷🏼\u200d♀️', 'length': 20}, {'text': '@millajwright', 'length': 13}, {'text': 'I promise I’ll try but I have an addiction', 'length': 42}, {'text': 'YES! Love this so much 🙌', 'length': 24}, {'text': 'And save the planet by doing so!', 'length': 32}, {'text': '❤️❤️❤️❤️', 'length': 8}, {'text': 'Thank you for resharing! 🙏🏻🙏🏻🙏🏻', 'length': 31}, {'text': '@tziarraking', 'length': 12}, {'text': 'Shop Your Closet! 😉😘❤️', 'length': 22}, {'text': ""you know my neighbour (Mother in law) comments i wear the same clothes, I don't care. Never have."", 'length': 97}, {'text': 'It’s fun too! More creativity, more thought, loved doing the #outfitrepeaterchallenge', 'length': 85}, {'text': ""I love my @aday every day and this outfit repeat challenge has shown me just how great they are. Comfy but stylish enough for office yet great casual. I even wear them evening as you can literally dress up, down, across... options are endless. Think it just shows that you don't need a huge wardrobe just great classics that look amazing and wash and wear to perfection"", 'length': 369}, {'text': '2 1/2 years and my #somethingborrowedshirt is still going strong ❤️🙌❤️', 'length': 70}, {'text': '❤️', 'length': 2}, {'text': '🦊 Garments that can last a lifetime! Ninja suits! We want to join this convo and learn more about how to help 🥷', 'length': 111}]"
We’re proud outfit,<Post CYcCyhpvY5s>,1187,9,[],07/01/22,"We’re proud outfit repeaters and challenging you to be one too (if you’re not already!) — 2 days left to register for our Outfit Repeater Challenge kicking off Monday, January 10th. Link in bio to sign up 🥰 

 📸 @dudettewithsign",228,"[{'text': '#outfitrepeater #outfitrepeaters #proudoutfitrepeater #capsulewardrobe #domorewithless #abetterwardrobe #rewearthat', 'length': 115}, {'text': 'I’m kinda astounded this is even a thing! Surely no one actually only wears things once? 🤨', 'length': 90}, {'text': '💯', 'length': 1}, {'text': '💯', 'length': 1}, {'text': 'Yo repito ropa todo el tiempo 💯', 'length': 31}, {'text': 'Who is doing that? Obv you have to repeat outfits unless you 1) are wealthy, and 2) don’t mind producing an inexcusable amount of waste', 'length': 135}, {'text': '😂💯', 'length': 2}, {'text': '👏🙌 this!', 'length': 8}]"
Food for thought,<Post CYRqKwJJSIe>,1291,20,[],03/01/22,"Food for thought this Monday morning 🔥 
.
.
.
.
Did you make a New Year’s resolution for 2022? Drop yours below and let us know what you’re running towards ✨

Regram creds @thatcoolmoodboard",190,"[{'text': '#outfitrepeater #capsulewardrobe #domorewithless #abetterwardrobe #mondaymotivation #newyearsresolution #2022goals', 'length': 114}, {'text': 'because, unfortunately, our wildest dreams require funding 😭😭😭', 'length': 62}, {'text': 'Bills', 'length': 5}, {'text': 'Beautiful 🙌 yes & so true', 'length': 25}, {'text': 'Such a beautiful post ❤️ happy Monday!', 'length': 38}, {'text': '🔥🏃🏼\u200d♀️🌙✨✨✨', 'length': 10}, {'text': 'Damn I’m so tired of getting excited about cute clothes and then the brand doesn’t carry my size. You stop at xl? Did you know 50% of the world is over that size? Thanks for reminding me that fat people are not wanted by main stream or fashion anything 🔥🙌', 'length': 255}, {'text': 'Because I’m ✨tired✨', 'length': 19}, {'text': 'LOVE THIS 👏👏', 'length': 12}, {'text': '@lara3051 @hilmuir @bbqshapes_n_wine @shayne_mcconachy @chellett @miadurance @carse17lisa something to ponder as we navigate this crazy life x', 'length': 142}, {'text': '@jocoughlan', 'length': 11}, {'text': 'This!!! ❤️', 'length': 10}, {'text': 'Amen.', 'length': 5}]"
Imagine men trying,<Post CXeVN0MuMzm>,53,2,[],14/12/21,"Imagine men trying to tell women what they can and cannot do with their bodies, oh wait 🙄 it is actually happening...
.
.
.
𝐄𝐚𝐫𝐥𝐢𝐞𝐫 𝐭𝐡𝐢𝐬 𝐲𝐞𝐚𝐫: The newly instated Texas Heartbeat Act prohibits abortion from as early as 6 weeks into a woman's pregnancy. Before this, elective abortions were allowed up to 20 weeks post-fertilization giving women much more time to make the decision that was right for them.

𝐉𝐮𝐬𝐭 𝐥𝐚𝐬𝐭 𝐰𝐞𝐞𝐤: The Supreme Court met to discuss if the state of Mississippi could ban abortions at 15 weeks gestation. This case is deemed one of the most important abortion rights cases since Roe v Wade and is set for June 2022. We will be tuning in.

𝐎𝐮𝐫 𝐯𝐢𝐞𝐰: Her body. Her choice. The end.

✨Check out our stories today to see how you can help make a change",768,"[{'text': '.\n.\n.\n.\n#herbodyherchoice #thisisaday #abortionlaws #feminism #mindyouruterus #makeachange #love #plannedparenthood #aday #topictuesdays #thoughtfultuesdays #letsstandtogether', 'length': 175}]"
POV: Emma living,<Post CW3Oci1LSNh>,4095,80,['outfitrepeater'],29/11/21,"POV: Emma living her best life with no crap. Good stuff only you can wear over and over again, now 25% off #outfitrepeater",122,"[{'text': 'Sounds like someone I know, @parglet', 'length': 36}, {'text': 'I’m in!!', 'length': 8}, {'text': '@chantellekristy meet you there 😂', 'length': 33}, {'text': '@damarishamilton', 'length': 16}, {'text': 'Sounds like an awesome plan! 🙌👏🔥', 'length': 32}, {'text': '@mercedesoler let’s go now 😂', 'length': 28}, {'text': 'Can we teach kids that people in the Bahamas don’t live in “tiny huts”. Thanks', 'length': 78}, {'text': 'Great plan', 'length': 10}, {'text': 'Adult handwriting', 'length': 17}, {'text': '@kiki_mark life goals 💯💯', 'length': 24}, {'text': '@cattonmj you', 'length': 13}, {'text': '@gillykay plans😂', 'length': 16}, {'text': 'Lol dropping wisdom 🔥', 'length': 21}, {'text': '@rachmatters', 'length': 12}, {'text': 'omg this is amazing 😂😂', 'length': 22}, {'text': '🙌🏽🙌🏽', 'length': 4}, {'text': 'Hilarious!!!!', 'length': 13}, {'text': '❤️', 'length': 2}, {'text': 'Love Emma 😂😍', 'length': 12}, {'text': '@ada_park brilliant 👏', 'length': 21}, {'text': 'I’m with her💙', 'length': 13}, {'text': 'Me too, Emma Knight, Me too.', 'length': 28}, {'text': 'The best!!! 🏝 🌮 👵🏼', 'length': 18}, {'text': 'I feel you kid', 'length': 14}, {'text': '🙌', 'length': 1}, {'text': 'This kid is a vibe @ocd1', 'length': 24}, {'text': 'Do I need to wait to a hundred? #lifegoals #doless', 'length': 50}, {'text': '_Me too! 👏👏👏👏', 'length': 13}, {'text': '@the_dani_elle 😂😂😂', 'length': 18}, {'text': 'Legend.', 'length': 7}, {'text': ""Things kids didn't say..."", 'length': 25}, {'text': '@scorrealewhite this is you', 'length': 27}, {'text': 'Wise beyond her years! 🦉🤓', 'length': 25}, {'text': '@seaneavery', 'length': 11}, {'text': '@andi__miller', 'length': 13}, {'text': 'Perfectly said!', 'length': 15}, {'text': 'I feel like @dumpster.doggy would appreciate this', 'length': 49}, {'text': '@larokcia “…with my tiny dog”. 😂❤️', 'length': 34}, {'text': 'Yep', 'length': 3}, {'text': 'I’m with you Emma 🙌🔥', 'length': 20}, {'text': '@catchmesomewhere', 'length': 17}, {'text': '@shaunalynn15', 'length': 13}, {'text': 'Me!  I am wishing I was that 100 year old person now. 👏👏', 'length': 56}, {'text': 'Hahahahahaha this is me', 'length': 23}, {'text': 'This is quite brilliant', 'length': 23}, {'text': '@emzk12… sounds about right 😂❤️', 'length': 31}, {'text': '@faqihahfrz', 'length': 11}, {'text': 'Have always wanted to go to the Bahamas 😆', 'length': 41}, {'text': '❤️', 'length': 2}, {'text': '@fromthemindofbri', 'length': 17}]"
Styling tips with,<Post CSc4nOgDyYm>,783,14,[],11/08/21,Styling tips with @thegreyedit. Have you heard of the 80/20 rule? ✨,67,"[{'text': '#slowfashion #slowclothing #slowclothesmovement #travelwardrobe #travelcapsule #capsulewardrobe #capsulecloset #capsuledressing #consciousfashion #regram #minimalist #minimalistwardrobe #curatedcloset #abetterwardrobe #domorewithless #outfitrepeater #outfitrepeating', 'length': 266}, {'text': 'Nylon pants. 😱', 'length': 14}, {'text': 'Great ad!', 'length': 9}, {'text': 'Boring', 'length': 6}, {'text': 'That time you wear the new something borrowed dress to your first day back from vacay and the whole team compliments you on how great you look, and then asks about the brand 😂🙌👏🔥', 'length': 178}, {'text': 'Amen!', 'length': 5}, {'text': '❤️❤️❤️❤️', 'length': 8}, {'text': 'Wonderful share 💖', 'length': 17}, {'text': '💯', 'length': 1}, {'text': 'Need that blouse tho!!!!', 'length': 24}, {'text': '#makemysize ! This shirt makes SO MUCH SENSE! Especially in a 16|18|20. Let’s be serious. 💁🏻\u200d♀️', 'length': 95}]"
Be back soon.,<Post CR9oKCNL6J7>,319,2,[],30/07/21,"Be back soon. With love, ADAY ✌️

Regram credits: @clemenceblr",62,"[{'text': '#slowfashion #slowclothing #slowclothesmovement #travelwardrobe #travelcapsule #capsulewardrobe #capsulecloset #capsuledressing #consciousfashion #regram #minimalist #minimalistwardrobe #curatedcloset #abetterwardrobe #domorewithless #outfitrepeater #outfitrepeating', 'length': 266}, {'text': '🔥', 'length': 1}]"
Doesn’t get cooler,<Post CRR6BqhDyX6>,398,35,[],13/07/21,Doesn’t get cooler than this 🍦Tammy from Team ADAY beats the heat in her Cool Down Crop,87,"[{'text': '#slowfashion #slowclothing #slowclothesmovement #travelwardrobe #travelcapsule #capsulewardrobe #capsulecloset #capsuledressing #consciousfashion #regram #minimalist #minimalistwardrobe #curatedcloset #abetterwardrobe #domorewithless #outfitrepeater #outfitrepeating', 'length': 266}, {'text': 'Girl, you get a lot done in ADAY (best pun ever oof 🔥)', 'length': 54}, {'text': '🍦🍦🍦🍦🍦', 'length': 5}, {'text': 'Love this top! ❤️', 'length': 17}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '💕❄️🍦', 'length': 4}, {'text': 'What pants are these?', 'length': 21}, {'text': 'What pants are these?', 'length': 21}, {'text': 'Love this top! ❤️', 'length': 17}, {'text': '🤩🤩🤩', 'length': 3}, {'text': 'Shout out to @jenisicecreams !! 💖', 'length': 33}, {'text': 'LOVE IT 🧡', 'length': 9}, {'text': 'Cuuuuuuute', 'length': 10}, {'text': 'This has so cute!', 'length': 17}, {'text': 'This is so cute!', 'length': 16}, {'text': '😭', 'length': 1}, {'text': 'Make a low back one for us gals in the tropics/subtropics ❤️', 'length': 60}, {'text': 'she’s ✨versatile✨ 😍', 'length': 19}, {'text': 'Love this so much! We want to be with Tammy hitting the streets lol 😆🖤', 'length': 70}, {'text': 'this is so cute!! 😍', 'length': 19}, {'text': '😍😍', 'length': 2}, {'text': '😍😍', 'length': 2}, {'text': '😂 $135. Yeah right lol.', 'length': 23}, {'text': '😂 $135. Yeah right lol.', 'length': 23}]"
We’re so happy,<Post CQPEwOqAbfl>,186,23,[],17/06/21,"We’re so happy to see the world opening back up again, but we can’t celebrate the joy of travel without bringing awareness to the complexities our queer community faces when traveling. 

We love to travel because it gives us the chance to experience different cultures, people, perspectives + places. However, for queer travelers, safety is a big concern. In 70+ countries homosexuality is still criminalized and even punishable by death in parts of the world (USA today). A recent survey commissioned by Orbitz, found that more than a quarter of 2,000 queer Americans polled said they feel the need to downplay their identity while traveling. 

Head over to our stories for resources to learn more about queer travel + ways to support. And thank you @thenomadicmars for sharing your story with us. 🏳️‍🌈",803,"[{'text': '#slowfashion #slowclothing #slowclothesmovement #travelwardrobe #travelcapsule #capsulewardrobe #capsulecloset #capsuledressing #consciousfashion #regram #minimalist #minimalistwardrobe #curatedcloset #abetterwardrobe #domorewithless #outfitrepeater #outfitrepeating', 'length': 266}, {'text': 'Downplay their sexuality while traveling?  What are they trying to hook up with someone?  Why does it even matter.  Stop leading with sexuality.  I’m sure interesting diverse people do just fine traveling. #badmarketing', 'length': 219}, {'text': 'The more inclusive statement would be people that lead with sexuality feel its difficult to be themselves while traveling.  I mean I’d stick to Europe.', 'length': 151}, {'text': '♥️♥️', 'length': 4}, {'text': 'thanks @thenomadicmars for sharing your experiences ❤️❤️❤️', 'length': 58}, {'text': 'Lmao wait so you’re trying to sell clothes and capitalize on the horrific treatment of LGBTQIA+ people in certain countries? How about demand equality across the world instead?', 'length': 176}, {'text': 'Pandering to people’s sexual identities as a sales & marketing strategy is so tired', 'length': 83}, {'text': 'Thank you for sharing this perspective! It’s something I hadn’t thought about 😫', 'length': 79}, {'text': 'Thank you for sharing this perspective! It’s something I hadn’t thought about 😫', 'length': 79}]"
On the road,<Post CPHHClDgH6p>,346,5,[],20/05/21,"On the road again ☀️

Model: @lolalangusta
📷 by @lindseykusterman",65,"[{'text': '#slowfashion #slowclothing #slowclothesmovement #travelwardrobe #travelcapsule #capsulewardrobe #capsulecloset #capsuledressing #consciousfashion #regram #minimalist #minimalistwardrobe #curatedcloset #abetterwardrobe #domorewithless #outfitrepeater #outfitrepeating', 'length': 266}, {'text': 'Fave shot 🚲💫', 'length': 12}, {'text': 'Cycling the stress away', 'length': 23}, {'text': 'unfair!😳 your account should get more traffic as your content is a real ❤️! contact guys from @smmwonder, they can help you with it!', 'length': 132}, {'text': 'That wall. That top😍', 'length': 20}]"
