,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Because we believe,<Post CcGRBixuZ5b>,205,4,"['ableasyouare', 'ableclothing']",08/04/22,"Because we believe clothing should be made to fit you, we’ve added more sizing options to our most loved denim jacket in original wash. Now available in sizes XXS-3X. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",205,"[{'text': 'This jacket is in my wish list. 💜', 'length': 33}, {'text': 'So fashionable!', 'length': 15}, {'text': 'The perfect denim jacket 😍', 'length': 26}, {'text': 'Do you know when the black wash jacket will be back in stock?', 'length': 61}]"
Natalie Borton brings,<Post CcEQyhjuT2U>,508,6,"['ableasyouare', 'ableclothing']",07/04/22,"Natalie Borton brings her eye for a minimalist, California-inspired jewelry design to life in our latest collection. We are proud to partner with an entrepreneur that shares our mission of body inclusivity and creating pieces that reflect who a woman really is: worthy and accepted.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
""The truth is, I care most deeply about the woman who is ultimately going to wear the pieces I design. I want that woman to remember her worth and value every time she puts on a piece of this jewelry, knowing that she doesn’t need to change her body in order to be loved and accepted.""
- @natalieborton 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",634,"[{'text': ""Okkkkkk @natalieborton! You're making me wanna buy alllllll these pieces!!! 😍💯"", 'length': 78}, {'text': 'Love her stuff @able @natalieborton', 'length': 35}, {'text': 'Beautiful collection 😍', 'length': 22}, {'text': 'We love Natalie! 👏👏👏', 'length': 20}, {'text': 'Everything so stunning! That NECKLACE tho!! 😍', 'length': 45}, {'text': 'So cute!', 'length': 8}]"
The NB x,<Post CcDngTEJaVu>,2983,102,[],07/04/22,"The NB x @able collection is now LIVE!! ✨ Here you can see the pieces styled with currently available spring pieces from ABLE. Which look is your favorite?

These are the pieces in our collection:
✨ Stephanie Coin Necklace 
✨ Gemma Ring (sizes 4-10 and adjustable)
✨ Ailsa Hoops
✨ Conni Ear Hugs (in hammered or smooth finish)
✨ Conni Stick Earrings (as a set with Conni Ear Hugs)

All of the jewelry is made in-house, by hand in Nashville, TN. Whether you pair the pieces of the collection together or wear them separately, we hope these pieces will bring you joy and make you feel confident and empowered when you wear them.",626,"[{'text': 'I cannot openly admit how many times I’ve watched this video, let’s just say I have it echoing in my head. 😂 You nailed all the looks and the jewelry is 😍.', 'length': 155}, {'text': 'Love! What style jeans are those and how do they fit?', 'length': 53}, {'text': 'I would also like a link to spend time with your dog!!!😍', 'length': 56}, {'text': 'All so lovely!', 'length': 14}, {'text': 'The jewelry is gorg! But love those jeans and that peasant like top!!', 'length': 69}, {'text': 'Oops bought almost everything ¯\\_(ツ)_/¯', 'length': 39}, {'text': 'I got my order in last night as soon as I got the email!', 'length': 56}, {'text': 'Beautiful pieces 😍', 'length': 18}, {'text': 'Got my coin necklace and conni earrings 😍 can’t wait to wear them', 'length': 65}, {'text': 'SO GORGEOUS! Love every.single.piece! ✨🙌🏻', 'length': 41}, {'text': '#shopsmall #femalerunbusiness #ethicallymade #ethicallymadejewelry #handmadejewelry #springstyle', 'length': 96}, {'text': 'How tall is this beautiful women? Those jeans for her perfect!! I’m only 5 foot 2 inches so I feel like they may be way too long for me', 'length': 135}, {'text': '@whitneyreynoldsdesign are these jeans Able?', 'length': 44}, {'text': 'Where can I find a link for your fantastic jeans? Congrats on the beautiful collab!', 'length': 83}, {'text': 'Where are the jeans from? I love them', 'length': 37}, {'text': 'Hello! Where can i buy the jeans? I AM um Portugal', 'length': 50}, {'text': 'Which tee is that one?', 'length': 22}, {'text': 'Natalie are any of the pieces available in silver please? Just gold? \nBig fan in Australia 🙌', 'length': 92}, {'text': 'Where are your jeans from?', 'length': 26}, {'text': 'Love these pieces and collab so much', 'length': 36}, {'text': 'Love all of this! If these pants come available in extended sizes I’ll be the first in line 😍😍 .', 'length': 96}, {'text': 'LOVE those jeans wow 😍', 'length': 22}, {'text': 'Yay it’s here!!!😍🙌🏻🙌🏻', 'length': 21}, {'text': 'My necklace is arriving this week ✨', 'length': 35}, {'text': 'The jeans 👖❤️', 'length': 13}, {'text': 'I want those Jeans!!! 😍', 'length': 23}, {'text': 'The @gemma_now ring could not be more perfect💛', 'length': 46}, {'text': '@natalieborton is the peasant blouse the “swing top?” And if so first it actually stay tucked in? It looks quite cropped', 'length': 120}, {'text': '@lailas3boys new wardrobe inspo ;)', 'length': 34}, {'text': '✌🏻 love that you named a piece after @_happygocurly_', 'length': 52}, {'text': 'Love! 1&3 best for me :-)', 'length': 25}, {'text': '😍😍😍', 'length': 3}, {'text': 'Yup I need all of this', 'length': 22}, {'text': 'So so excited for the necklace and Connie hugs! Love that gingham dress on you too! 🙌', 'length': 85}, {'text': 'Love the look 👏', 'length': 15}, {'text': 'I got the Conni ear hugs, they are so pretty!  Kinda wishing I would have grabbed the hoops too.', 'length': 96}, {'text': 'Those jeans are so cute on you!!', 'length': 32}, {'text': '😍😍😍', 'length': 3}, {'text': 'Ordered the Stephanie pendant and I’m so excited after missing out last release!!!', 'length': 82}, {'text': 'Obsessed with these pants!', 'length': 26}, {'text': 'Love the jeans! So excited for my pieces! Snagged the necklace and earring set! 😍', 'length': 81}, {'text': 'everything looks so beautiful!!', 'length': 31}, {'text': '🔥', 'length': 1}, {'text': 'Ahhh I love this look!!!👏😍I don’t know why I’m over people trying to look like a gen z’er. trendy and classy👌totally bookmarking it', 'length': 131}, {'text': 'I’m just torn between the hammered or regular Conni ear hugs 😩', 'length': 62}, {'text': 'Love every piece', 'length': 16}, {'text': '🤍🤍', 'length': 2}, {'text': 'Love the dog and jeans.', 'length': 23}, {'text': 'Your jewelry collection is beautiful!Are the jeans @able too?', 'length': 61}, {'text': '3', 'length': 1}]"
It’s the matching,<Post CcB7_vmuHMV>,156,3,"['ableclothing', 'ableasyouare']",07/04/22,"It’s the matching set for us. 

@musingsofacurvylady 
#ableclothing #ABLEasyouare",81,"[{'text': 'It’s the ethically sourced, sustainably made and size inclusivity for me! Love that Jordan Set! 💚💚💚', 'length': 99}]"
Started from the,<Post Cb-SB61uQpz>,118,1,"['ableasyouare', 'ableclothing']",05/04/22,"Started from the bottom, now they’re here. These are pants to live in this spring. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",121,"[{'text': 'Love that color!', 'length': 16}]"
Pockets full of,<Post Cb73wq-umtm>,108,0,"['ableclothing', 'ableasyouare']",04/04/22,"Pockets full of sunshine. These dresses will make your day (and wardrobe) a little brighter. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ableclothing #ableasyouare",131,None
Our favorite thing,<Post Cb6fZVUO2JC>,206,4,"['ableasyouare', 'ableclothing']",04/04/22,"Our favorite thing about our beautiful, handmade jewelry is the women who hammer, solder, assemble, and package each piece. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Every time you purchase a new staple jewelry piece or personalize one to mark a moment in your life, women in Nashville, TN, are able to continue writing a better story for themselves and their families. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",377,"[{'text': 'My favorite thing about @able', 'length': 29}, {'text': '❤️', 'length': 2}, {'text': 'I love all these beautiful ladies so super much!!! I love my beautiful daughter with all my heart and I’m so very proud of her! ❤️❤️', 'length': 132}]"
When your flowers,<Post Cb6Qf-LO-8_>,221,3,"['ableasyouare', 'ableclothing']",04/04/22,"When your flowers match your floral dress.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@kendall.kingsford
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",109,"[{'text': 'Ugh, these colors just make me feel so at peace 😌', 'length': 49}, {'text': 'Will you be making these in plus size?', 'length': 38}, {'text': 'Love it! This dress is perfect for warmer days!!!😍', 'length': 50}]"
Add a little,<Post Cb20B4-uSYj>,93,1,"['ableasyouare', 'ableclothing']",02/04/22,"Add a little sparkle to your Saturday.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",76,"[{'text': 'Will you be restocking the alyssa clog for spring/summer? I’m waiting for them but may buy a different clog if not', 'length': 114}]"
Skip into spring,<Post Cb0eM1KuCcM>,80,1,"['ableasyouare', 'ableclothing']",01/04/22,"Skip into spring in our sporty Macy Sandal.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",81,"[{'text': 'This short set is so cute 🙌', 'length': 27}]"
