,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
As we refresh,<Post CcLRmb5LAbq>,246,4,[],10/04/22,"As we refresh our current stores and ramp-up to open more Kotn homes this year (stay tuned!), our environmental impact, as always, is top of mind. That's why we're committed to using 80% vintage, reused or second-hand furniture in all of our spaces. Check out our stories for tips from our Special Projects team on the best places and processes to find your perfect piece 🪑",373,"[{'text': '🪑🛋', 'length': 2}, {'text': '@steph.metcalfe sourcing queen 👑', 'length': 32}, {'text': ""Amazing. 👏 It's such a good feeling to find great second-hand pieces."", 'length': 69}]"
Styling 101: Loungewear.,<Post CcGfxZUpf5T>,646,11,[],08/04/22,"Styling 101: Loungewear. Not just for winding down, but for stepping out. Explore our stories for five ways our community is dressing up our lounge favourites!",159,"[{'text': 'The perfect set does exist 🤤', 'length': 28}, {'text': 'So cozy 💙', 'length': 9}, {'text': 'Honestly I just throw on a pair of Kotn sweatpants with a Kotn t shirt and put a blazer on top. Boom. Perfect every time.', 'length': 121}, {'text': 'That colour 😩😩😩', 'length': 15}, {'text': 'Us @stephbechard', 'length': 16}, {'text': 'Love this blue', 'length': 14}, {'text': 'Will there be a restock in black?? 😍', 'length': 36}, {'text': 'Love this loungewear line 🙌', 'length': 27}, {'text': 'Love this color 😍', 'length': 17}, {'text': '😍😍😍', 'length': 3}]"
🖼: Doors of,<Post CcD9sDNJ9hB>,382,2,[],07/04/22,🖼: Doors of Egypt,17,"[{'text': 'Beautiful. All day inspo ❤️', 'length': 27}, {'text': 'beautiful! 🚪', 'length': 12}]"
"Buy less, care",<Post CcBfakTpby3>,176,2,[],06/04/22,"Buy less, care more. Taking proper care of your bedding is the best way to extend its lifespan—reducing your environmental footprint and—bonus—stretching your dollar. 

☁️: In honour of our newest bedding collection, here are some of the best ways to take care of your linen pieces.",282,"[{'text': 'Is it better to dry them in the drier or air dry?', 'length': 49}]"
A new shade,<Post Cb-489LpEX8>,712,56,[],05/04/22,"A new shade with history, making its debut later this spring. Before its here, can you help us choose a name? Comment your ideas below!",135,"[{'text': 'Phthalo green 💚', 'length': 15}, {'text': 'seagrass', 'length': 8}, {'text': 'Seafoam', 'length': 7}, {'text': 'Dusty teal', 'length': 10}, {'text': 'Piney (pine-y)', 'length': 14}, {'text': 'Lagoon 💚', 'length': 8}, {'text': 'Verdigris (the color of oxidized copper) or Liberty 🗽', 'length': 53}, {'text': 'Mar', 'length': 3}, {'text': 'lagoon 💚💙', 'length': 9}, {'text': 'Great Lake love', 'length': 15}, {'text': 'Aqua 🐳', 'length': 6}, {'text': 'Spruce Springsteen', 'length': 18}, {'text': 'Seafoam 🌊', 'length': 9}, {'text': 'sea moss', 'length': 8}, {'text': 'Dioptase - look it up. It’s perfect. 😍', 'length': 38}, {'text': 'Pinetree', 'length': 8}, {'text': 'Peacock, pacific, spruce, rainforest', 'length': 36}, {'text': 'moss', 'length': 4}, {'text': 'Galápagos', 'length': 9}, {'text': 'Big tub green', 'length': 13}, {'text': 'Dead Sea', 'length': 8}, {'text': 'Eucalyptus', 'length': 10}, {'text': 'Bliss Fields', 'length': 12}, {'text': '✨malachite✨', 'length': 11}, {'text': 'Rainforest^^', 'length': 12}, {'text': 'Tide 🌊', 'length': 6}, {'text': 'Fuse 🌿', 'length': 6}, {'text': 'Juniper 🍃', 'length': 9}, {'text': 'Bluegrass', 'length': 9}, {'text': '“Dream Green”', 'length': 13}, {'text': 'Jasper', 'length': 6}, {'text': 'Nymphéas (for the painting!)\nLiked Rainforest also!', 'length': 51}, {'text': 'Evergreen', 'length': 9}, {'text': 'Moraine', 'length': 7}, {'text': 'Spruce 🌲', 'length': 8}, {'text': 'Moldy bred', 'length': 10}, {'text': 'Emerald 💠', 'length': 9}, {'text': 'Green machine', 'length': 13}, {'text': 'Scrubs', 'length': 6}, {'text': 'Lakeside 💚💙', 'length': 11}, {'text': 'Nile', 'length': 4}, {'text': 'Verdant', 'length': 7}, {'text': 'Petal', 'length': 5}, {'text': 'SoftWare Green', 'length': 14}, {'text': 'Hosta', 'length': 5}, {'text': 'Jasper', 'length': 6}, {'text': 'Forest Floor', 'length': 12}, {'text': 'Algae', 'length': 5}, {'text': 'Crisp, pine', 'length': 11}, {'text': '@loremipzum ur pfp', 'length': 18}]"
“We like to,<Post Cb8PQn5pxc4>,354,3,[],04/04/22,"“We like to think of our space as a retired architect’s home of collected items, or a lived-in museum—except with warmer vibes, not cold.”

Stepping into the Corbusier and Breuer-filled home of Californian creatives Jereme (@j.brian) and Shelby Mendez (@shelbycatt). Explore the feature through our stories and at kotn.com/editorials

Photographed by @gregabrahamstudio",369,"[{'text': 'Thank you @kotn 🕊🕊🕊', 'length': 19}, {'text': 'Love this 👏 @j.brian', 'length': 20}, {'text': 'Will the black ribbed pants be restocked sometime? 🙌', 'length': 52}]"
For mornings with,<Post Cb5mhNWFbO->,894,4,[],03/04/22,"For mornings with nowhere to be but bed. 

☁️: The Linen Bedding collection. Sheets and duvet covers made from nature’s finest fibres—airy linen and ultra-soft Egyptian cotton, keeping you cool and comfortable through all the warmer months.",240,"[{'text': 'POV: memories of the wife in a revenge movie', 'length': 44}, {'text': '🔥🔥❤️🙌🙌', 'length': 6}, {'text': 'Que legal vou fazer também', 'length': 26}]"
Our linen bedding,<Post Cb3Cdi3rr1O>,512,10,[],02/04/22,"Our linen bedding is a blend of nature's finest: airy linen and ultra-soft Egyptian cotton. Crafted from flax, and famous for its lightness, absorption and strength, linen has a deep-rooted heritage in Egypt—so prized, it was once used as a form of currency. Available now in-stores and and online!",298,"[{'text': 'More things in the colour raven please 🤤🤤', 'length': 41}, {'text': 'Gorgeous 😍', 'length': 10}, {'text': 'I was looking at purchasing the quilted comforter for my bed set however, I have a linen duvet cover I would like to use to cover it but idk if it would stay. Does the quilted comforter have any loops or buttons to attach to a duvet cover?', 'length': 239}, {'text': 'Can you tell me about this chair?', 'length': 33}, {'text': '😍😍😍', 'length': 3}, {'text': 'Hello! Is raven closer to a dark blue or black?', 'length': 47}]"
Introducing: Linen Bedding.,<Post Cb0DXlfLCfM>,623,16,[],01/04/22,"Introducing: Linen Bedding. Sustainable and storied, we’ve brought the famed fabric home. Blended with our staple Egyptian cotton, our bedding maintains the beautiful texture of linen but with a much softer touch, to keep you cool and comfortable through all the warmer months. Available in five colours, in-stores and online now!",330,"[{'text': 'can y’all make the pillow cases available separately', 'length': 52}, {'text': 'Eeek, my fave colour 💛💛💛', 'length': 24}, {'text': 'Simply exquisite! Cannot wait to own them all ☀️🫒🌫', 'length': 50}, {'text': 'Oh my 😍😍', 'length': 8}, {'text': 'Gorgeous!!', 'length': 10}, {'text': 'I’m obsessed 😍', 'length': 14}, {'text': 'So pretty!!!!! 😍😍😍😍', 'length': 19}, {'text': 'ARGHSBDNAHDHS NEED THIS !!!!', 'length': 28}, {'text': 'Capers 🫒 😍', 'length': 10}, {'text': '☁️☁️☁️', 'length': 6}, {'text': 'Really love the shirt the model is wearing on the first photo but I didn’t see it on your website. Is it a new piece? 😮😍', 'length': 120}, {'text': 'Would you say capers is more of an olive green or brown? It feels like it’s somewhere in the middle 🤔', 'length': 101}]"
“Being a very,<Post Cbx8yyqh493>,647,9,[],31/03/22,"“Being a very passionate native New Yorker, the reality of me [becoming an archeologist and] sitting in a dirt pit was slim. Archiving is the best of both worlds: discovering invaluable stories without the khaki capris.”

👁️: Lasting Ways with @annaapei, the founder of Ode Archival. Explore the feature through our stories and at kotn.com/editorials

Photographed by Dobrin Mitev (@dobmit).",391,"[{'text': 'Such a pleasure working on this piece with you!! Thank you so much for the feature ❤️❤️❤️', 'length': 89}, {'text': 'Dope @annaapei', 'length': 14}, {'text': 'Dreamy 😍', 'length': 8}, {'text': '🙌 it’s been great working with you!', 'length': 35}, {'text': 'omg hiii @annaapei', 'length': 18}, {'text': '👑', 'length': 1}, {'text': 'lemme be a kotn photographer plz', 'length': 32}]"
Our best-selling Anti-Fit,<Post CbvDwvPll6V>,181,9,[],30/03/22,"Our best-selling Anti-Fit Denim is back in stock. Crafted from our recycled cotton blend in a cool genderless fit, it’s denim done better.

🌞: @theluckymonday, styling our light wash for the season, featuring a classic leather jacket, sunnies, and some sweet spring sunshine.",275,"[{'text': 'will there be new items for mens clothing soon?', 'length': 47}, {'text': 'Best jeans evaaa 👖', 'length': 18}, {'text': 'Love', 'length': 4}, {'text': '😎😎😎😎', 'length': 4}, {'text': 'Loooveee', 'length': 8}, {'text': '🤌🤌', 'length': 2}, {'text': ""so chic😊 I've sent you a DM. I'd be grateful if you could take a look at it. Thanks."", 'length': 84}, {'text': 'Classic 😎\n@siamaqadar', 'length': 21}]"
Loungewear to elevate,<Post Cbszp3_l0pQ>,623,5,[],29/03/22,Loungewear to elevate your downtime 🍋,37,"[{'text': 'An instant favourite 🖤', 'length': 22}, {'text': 'Love ❤️❤️❤️', 'length': 11}, {'text': '🤍', 'length': 1}, {'text': 'Cozy 😍😍😍', 'length': 8}, {'text': '😍', 'length': 1}]"
Essentials are at,<Post CbqHhh6O0IR>,423,6,[],28/03/22,"Essentials are at our core. Versatile, timeless staples that don’t compromise on quality or the integrity of the people who make them. Watch our stories to get to know our Essentials better!",190,"[{'text': '🔥🔥🔥', 'length': 3}, {'text': 'The trousers!! Are you releasing those soon?', 'length': 44}, {'text': ""pls bring back the terry sweatpants! they're the most comfy sweatpants i've ever worn!🥺"", 'length': 87}, {'text': 'Looks like the battlestar galactica one', 'length': 39}, {'text': '@rebeccakengel more fits for ya', 'length': 31}]"
