,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Our members received,<Post Cb2H5z9IqLW>,-1,6,"['jointhepact', 'linkinbio', 'pactletter', 'creativity', 'cruel', 'inspire', 'connection', 'avantgardeclothing', 'creativity', 'pactmembers']",02/04/22,"Our members received their PACT letter again! Including an exclusive interview with our member @cruelwilll About maturing, inner closure and of course his brand CRUÈL. Intrigued? Link in bio!
*
*
*
#jointhepact
#linkinbio
#PACTletter #creativity #CRUEL #inspire #connection #avantgardeclothing #creativity #pactmembers",318,"[{'text': '👏', 'length': 1}, {'text': '🖤', 'length': 1}, {'text': '❤️🕊', 'length': 3}]"
Happy Friday! We're,<Post Cbz84pfomAD>,-1,6,"['jointhepact', 'connecting', 'newsingle', 'birthday', 'anthem', 'vocals', 'makeanimpact', 'shareyourvoice']",01/04/22,"Happy Friday! We're heading into the weekend with some fun news! 
Our PACT member @felicianacacciapuoti returns with her new single ‘Birthday’. Opening with smooth vocals and a sample that anchors the track. It is weightless, but pounding and vitally celebratory, as a R&B birthday anthem is supposed to be.
 
You can stream the single from today. 

Produced by @walshyfire + @therealsmurv 
mixed by @ferminsuerojr

*
*
*
#jointhepact #connecting #newsingle #birthday #anthem #vocals #makeanimpact #shareyourvoice",513,"[{'text': 'Thank you for all the love 🥰🥰🥰', 'length': 30}, {'text': '😍😍', 'length': 2}, {'text': '🔥🔥🔥', 'length': 3}]"
Full house! Once,<Post CbxdOW7IZ5Z>,-1,2,"['jointhepact', 'impactsession', 'afternoonessions', 'inspiring', 'connecting', 'impact', 'raiseyourvoice', 'speakyourmind', 'pactcollective', 'inspiration', 'community']",31/03/22,"Full house! Once again we invited some PACT mentors at our office. This IMPACT session was filled with great discussions, challenging questions and tempura shrimp crumbs. We are amazed by all the positive feedback and are very happy all these experts are so enthusiastic to inspire the young creative community! Thank you all for brainstorming with us! 
*
*
*
*
*
#jointhepact
#impactsession #afternoonessions #inspiring #connecting #impact #raiseyourvoice #speakyourmind #pactcollective #inspiration #community",511,"[{'text': '🔥', 'length': 1}, {'text': '❤️❤️', 'length': 4}]"
🎁🎁🎁Congrats to our,<Post CbuIdepImYm>,22,4,"['jointhepact', 'pactmembers', 'linkinbio', 'creativity', 'giveaway', 'winning', 'issawrap', 'womensday', 'connection', 'creativity', 'enjoy']",30/03/22,"🎁🎁🎁Congrats to our winners @lekkergaanmetlo @amymaxime @linomuyres 
Gift time! Our pleasure set, Aēsop soap & feminist literature - are on their way to you!
Would you like to stay in the know about our giveaways or discount codes? Make sure to always keep an eye on our socials!

Special thanks to: @easytoys 
* * * *
#jointhepact
#pactmembers
#linkinbio #creativity #giveaway #winning #issawrap #womensday #connection #creativity #enjoy",437,"[{'text': '😍', 'length': 1}, {'text': '🤍', 'length': 1}]"
Our gifted member,<Post CbncL4vIUYa>,43,8,[],27/03/22,Our gifted member @cruelwilll invited us for his FW22 RUNWAY SHOW this Friday and we are so so proud of him. Check out these stunning pieces & give him all the love he deserves ⭐️⭐️⭐️⭐️⭐️,187,"[{'text': '🔥🔥🔥', 'length': 3}, {'text': 'Thank you family, sending love ❤️❤️❤️', 'length': 37}, {'text': '💜✨', 'length': 2}, {'text': '👏', 'length': 1}]"
🧡Creative mastermind and,<Post CbkUU4WoLrv>,51,5,"['jointhepact', 'membernews', 'linkinbio', 'creativity', 'impact', 'inspire', 'connection', 'creativedirector', 'creativity', 'pactmembers']",26/03/22,"🧡Creative mastermind and PACT mentor @alain.amsterdam explains a little about why he believes in PACT. But also reveals his all-time low in terms of fashion choices. Press play to find out! 
*
*
*
*
*
#jointhepact
#membernews #linkinbio #creativity #Impact #inspire #connection #creativedirector #creativity #pactmembers",320,"[{'text': '😘🤟', 'length': 2}, {'text': '😍', 'length': 1}]"
Link in bio!,<Post CbX70zTIbIR>,-1,2,"['jointhepact', 'giveaway', 'linkinbio', 'talkshow', 'conceptualartist', 'creativeicon', 'connection', 'inspiration', 'impact', 'fullcircle', 'tavaresstrachan', 'art', 'event']",21/03/22,"Link in bio! PACT and @felixmeritisamsterdam offer our loyal followers a discount code for tomorrow’s special event. Tavares Strachan is a NYC based artist who activates the intersections of art, science, and politics in his work. He will tell everything about his conceptual art in the intimate talkshow ‘Full Circle’ in the freshly re-opened Felix Meritis (Amsterdam). Like this post & order your tickets now. Follow us for more nice offers around culture, creativity and fashion!
*
*
*
#jointhepact
#giveaway #linkinbio #talkshow #conceptualartist #creativeicon #connection #inspiration #impact #fullcircle #tavaresstrachan #art #event",638,"[{'text': '@joyfullkittens', 'length': 15}, {'text': '🔥', 'length': 1}]"
Creativity and solidarity,<Post CbNGKHIIG7i>,39,10,"['makeanimpact', 'ukraine', 'peopleforpeople', 'inspirational', 'connecting', 'pactmembers']",17/03/22,"Creativity and solidarity combined! Our member @kadae.atelier did an amazing job tattooing hearts to raise money for Ukraine. She raised €1200 with these hearts. This amount is transferred to @stvluchteling. Here are some examples of her work that day. Our thoughts are with all the people who were forced to leave their homes or who lost loved ones during the senseless acts of war. 🙏🏼
*
*
#makeanimpact #ukraine #peopleforpeople #inspirational #connecting #pactmembers",470,"[{'text': '😍😍😍😍', 'length': 4}, {'text': 'Amazing concept 😍🔥', 'length': 18}, {'text': 'Zussieeee 🔥🔥🔥', 'length': 13}, {'text': '🥰 thanks for sharing', 'length': 20}, {'text': 'Thank you so much! ❤️🙌', 'length': 22}]"
Only 55% on,<Post CbK11bKoyQa>,-1,1,"['municipalelections', 'makeanimpact', 'useyourvote', 'useyourvoice', 'jointhepact', 'pactmembers']",16/03/22,"Only 55% on average votes during the municipal elections in NL👀. We asked our PACT, and whaddayaknow: nine out of ten PACT members will go to the ballot boxes today. Friendly reminder that it just takes five minutes of your time and every vote can make a difference. So use yours today!
*
*
#municipalelections #makeanimpact #useyourvote #useyourvoice #jointhepact #pactmembers",377,"[{'text': '🔥', 'length': 1}]"
Can’t argue with,<Post Ca9SoumI7XA>,51,0,"['jointhepact', 'quotes', 'mayaangelou', 'inspiration', 'impact', 'connection', 'connections', 'creativity']",11/03/22,"Can’t argue with Maya Angelou. 
*
*
*
*
*
#jointhepact
#quotes #mayaangelou #inspiration #impact #connection #connections #creativity",133,None
